English,Chapter,Japanese
emphasize,v,to give special importance to when speaking or writing 
endure,v,to suffer through something difficult with patience 
enhance,v,to intensify or magnify 
epitome,n,a perfect example of something 
equivalent,adj,equal 
erroneous,adj,incorrect 
estimate,n,an approximate value 
evade,v,to avoid or escape 
evaluate,v,to assess  
evidence,n,facts or evidence that help prove or disprove something 
evolve,v,to gradually change 
exemplary,adj,worthy of imitation 
exclude,v,to leave out 
exclusive,adj,not admitting the majority 
expand,v,to increase in size  
expertise,n,expert knowledge or skill in a particular field 
exploit,v,to use selfishly 
expose,v,to reveal or unmask 
extension,n,an act of making something longer 
extract,v,to get or remove something 
famine,n,a time when there is an extreme lack of food 
feasible,adj,possible to do 
finite,adj,having an end or limits 
flaw,n,a feature that ruins the perfection of something 
fluctuate,v,to change continually 
focus,n,the central point or idea 
fortify,v,to strengthen 
framework,n,a skeletal structure designed to support something 
frivolous,adj,unnecessary; of little importance 
function,n,a purpose natural to a person or thing 
fundamental,adj,of primary importance 
gap,n,a space in between two objects 
garbled,adj,communication that is distorted and unclear 
generate,v,to produce 
grandiose,adj,pompous; overly important 
hackneyed,adj,overused and unoriginal 
haphazard,adj,lacking planning 
harsh,adj,not gentle; unpleasant 
hasty,adj,in a hurry  
hazardous,adj,full of risk 
hesitate,v,"to pause, often due to reluctance "
hierarchy,n,a ranking system 
hindrance,n,something that causes delay or resistance 
hollow,adj,empty inside 
horror,n,an intense feeling of fear 
hostile,adj,extremely unfriendly 
hypothesis,n,an unproven idea that attempts to prove something 
identical,adj,exactly the same 
illiterate,adj,unable to read 
illustrate,v,to explain by using an example  
impact,n,to effect or influence 
impair,v,to worsen 
implement,v,to carry out 
imply,v,to strongly suggest 
impose,v,to force upon 
impoverish,v,to reduce to poverty 
incentive,n,a reason to do something 
incessant,adj,continuing without pause  
incidental,adj,a minor part 
incite,v,to urge on  
inclination,n,a preference 
incompetent,adj,incapable; lacking ability 
inconsistent,adj,changing randomly 
indefatigable,adj,untiring 
indisputable,adj,not able to be challenged 
ineffective,adj,not producing any major impact 
inevitable,adj,unable to be avoided 
infer,v,to guess based on evidence  
inflate,v,to increase in size 
influence,n,the ability to have an impact on something 
inhibit,v,to hinder or restrain 
initial,adj,the first 
inquiry,n,an investigation to determine the truth 
integral,adj,necessary to complete the whole 
integrate,v,to combine  
interpret,v,to explain the meaning of something 
intervene,v,"to come between people, objects, or an event and change what is happening "
intrepid,adj,fearless 
intricate,adj,highly detailed 
invasive,adj,intrusive 
investigate,v,to examine or study  
irascible,adj,easy to anger 
irony,n,the use of words to give a meaning opposite to their literal  meaning 
irresolute,adj,uncertain 
jargon,n,words specific to a certain job or group 
jointly,adj,together 
knack,n,a special talent or skill 
labor,n,work or effort 
lag,v,to fall behind 
lampoon,v,to mock or ridicule 
languish,v,to become weak v. to be neglected 
lecture,n,a talk given to an audience  
leery,adj,wary 
legitimate,adj,lawful  
lenient,adj,merciful; less harsh 
likely,adj,probable 
ludicrous,adj,ridiculous 
maintain,v,to continue at the same level 
major,adj,very important 
manipulate,v,"to influence, especially in an unfair way "
maximize,v,to increase to the greatest possible size 
measure,v,to find the size and dimensions of something 
mediocre,adj,"ordinary, average "
mend,v,to fix 
method,n,a way of doing something 
migrate,v,to move from one place to another 
minimum,n,the smallest or lowest amount possible 
misleading,adj,giving the wrong idea 
modify,v,to change 
morose,adj,"gloomy, depressed  "
negligent,adj,"lazy, neglectful "
nonchalant,adj,"indifferent, unexcited "
obey,v,to follow orders or instructions 
obtain,v,to get 
obvious,adj,easily understood 
opponent,n,someone on the opposite side for a game or contest 
oppress,v,to unfairly burden  
origin,n,the source; where something began 
parsimonious,adj,"frugal, stingy "
partake,v,to join in 
partial,adj,preferring one option over others 
paucity,n,something existing in very small amounts; scarcity 
peak,n,the highest or most important point 
peripheral,adj,located on the side or edge 
permeate,v,to penetrate or pass through 
persist,v,"to continue, especially when facing opposition "
pertain,v,to relate 
phase,n,a period or stage in a process 
poll,n,a record of opinions or votes 
potent,adj,powerful 
pragmatic,adj,"practical, sensible "
praise,v,to give approval or admiration 
precede,v,to come before 
precise,adj,exact 
prestigious,adj,having a high reputation 
prevalent,adj,widespread 
primary,adj,first; most important 
prior,adj,previous or earlier 
proceed,v,to continue doing something 
progeny,n,offspring 
promote,v,to further the progress of something 
prosper,v,to do well  
proximity,n,nearness in time or space 
quarrel,n,a disagreement or fight  v. to have an argument 
range,n,"the distance between two things, often the maximum and  minimum "
rank,n,an official position or station 
rebuke,v,to sternly disapprove or reprimand 
recapitulate,v,to give a brief summary 
recede,v,to retreat 
recommend,v,to present someone with confidence and approval 
reform,v,to make changes that improve something 
regulate,v,to supervise or control a process so that it functions correctly 
reinforce,v,to strengthen with added support 
reject,v,to say no to something that is offered 
release,v,to free  v. to allow to be known 
rely,v,to depend on 
reproach,v,to express disapproval or disappointment 
require,v,to need for a specific purpose  
resent,v,to feel bitterness or anger towards someone or something 
resign,v,to give up an office or position 
resist,v,to withstand the effect of 
resolve,v,to come to a firm decision 
restrict,v,to confine or keep within limits 
retain,v,to continue to do something or keep something 
retract,v,to draw back in 
retrieve,v,to bring back 
rhetorical,adj,used just for style or impact 
rigid,adj,"stiff, unyielding "
rotate,v,to turn 
safeguard,n,something that serves as protection or ensures safety 
scrutinize,v,to very carefully examine 
section,n,a part of the whole 
select,v,to choose 
sequence,n,things that follow each other in a certain order 
severe,adj,"harsh or strict  adj. grave, critical "
shallow,adj,not deep 
shelter,v,to protect from something harmful 
shrink,v,to become smaller 
significant,adj,"important, noteworthy "
source,n,"a person, place or thing where something was obtained "
sparse,adj,thinly scattered 
specify,v,to clearly specify which one 
speculate,v,to form a theory without strong evidence 
solitary,adj,alone; without others 
somber,adj,gloomy; depressing 
soothe,v,to calm or comfort 
squalid,adj,filthy and unpleasant 
stable,adj,unlikely to change or fail 
stagnant,adj,sluggish; showing little movement 
strategy,n,a plan to reach a desired outcome 
subsequent,adj,coming after something in time 
substitute,n,a person or thing acting in place of another 
subtle,adj,difficult to notice right away 
sufficient,adj,enough to serve a particular purpose 
summarize,v,to briefly give the main points 
supervise,v,to oversee work or a process 
supplant,v,to take the place of something else 
suspend,v,to temporarily stop v. to hang something from somewhere 
suspicious,adj,having the belief that someone is doing something dishonest  or illegal 
sustain,v,to keep going 
symbolic,adj,serving as a symbol 
technical,adj,relating to a specific subject or craft 
terminal,adj,situated at the end 
tolerate,v,to put up with 
transfer,v,to move from one place to another 
transition,v,to change from one state or condition to another 
transparent,adj,easy to see through  adj. easy to detect 
tuition,n,the fee for instruction at a school 
unobtrusive,adj,not attracting attention 
unscathed,adj,unharmed 
upbeat,adj,"happy, optimistic "
unjust,adj,unfair 
vacillate,v,to waver or be indecisive 
valid,adj,just; well-founded 
vanish,v,to disappear quickly  
vary,v,to be different from something else in a group 
verdict,n,a judgement or decision 
vestige,n,"a small trace of something that is disappearing or has already 
disappeared"
vial,n,a small container used to hold liquids 
vilify,v,to speak poorly of; to slander 
voluminous,adj,taking up a lot of space 
whereas,conj,on the contrary 
wholly,adv,completely 
widespread,adj,occurring over a large region 
abundant,all,present in large quantities 
accumulate,all,to gradually collect 
accurate,all,correct; free from errors 
accustomed,all,used to something 
acquire,all,to come into possession of 
adamant,all,refusing to change an opinion 
adequate,all,enough to suit your needs 
adjacent,all,close to or next to 
adjust,all,to change something so it serves its purpose better 
advantage,all,something that makes it easier to achieve success 
advocate,all,to publicly support 
adverse,all,unfavorable; against one's desires 
aggregate,all,to combine 
aggressive,all,assertive and pushy 
allocate,all,to put aside for a specific purpose 
alternative,all,another option or choice 
amateur,all,someone who is inexperienced or not highly skilled in a particular area
ambiguous,all,having several potential meanings; unclear and difficult to understand 
ambitious,all,having large goals 
amend,all,to change for the better; to improve 
ample,all,plentiful 
anomaly,all,deviation from the norm 
annual,all,occurring yearly 
antagonize,all,to tease or be hostile towards a person or group 
attitude,all,manner or feeling 
attribute,all,to give credit 
arbitrary,all,based on a whim or random desire 
arduous,all,requiring a lot of effort 
assuage,all,to lessen a negative feeling 
assume,all,to suppose without solid proof 
augment,all,to increase or make larger  
benefit,all,something positive or advantageous 
berate,all,to scold 
bestow,all,to give as a gift 
boast,all,to brag or talk with excessive pride 
boost,all,to help raise or increase something
brash,all,rude and tactless 
brief,all,short (in terms of time) 
brusque,all,abrupt to the point of rudeness 
cacophony,all,"a harsh, unpleasant mixture of noise "
cease,all,to stop  
censure,all,to express strong disapproval 
chronological,all,arranged in order of time or date 
clarify,all,to make clear; to remove confusion 
coalesce,all,to combine or grow together 
coerce,all,to force someone to do something against their will 
cognizant,all,being aware or having knowledge of something  
cohesion,all,uniting; becoming one 
coincide,all,to occur at the same time 
collapse,all,to fall down or break down 
collide,all,to hit one another with a forceful impact 
commitment,all,dedication to a cause or activity 
community,all,a group of people who live or work together 
conceal,all,to hide 
concur,all,to agree 
conflict,all,a disagreement or fight 
constrain,all,to restrict or repress 
contemplate,all,to consider thoughtfully 
continuously,all,to go on without stopping 
contradict,all,to give the opposite opinion 
contribute,all,to give something (usually money or time) to a common fund or cause 
convey,all,to make known 
copious,all,abundant 
core,all,central; of main importance 
corrode,all,to gradually wear away 
cumbersome,all,burdensome; clumsy 
curriculum,all,the courses given by a school or program 
data,all,"facts, statistics, or pieces of information "
decay,all,to decline in health or excellence 
deceive,all,to trick or mislead 
decipher,all,to find the meaning of 
declaration,all,an announcement 
decline,all,to politely refuse 
degrade,all,to lower in quality 
demonstrate,all,to show 
deny,all,to state that something isn't true 
deplete,all,to significantly decrease 
deposit,all,to deliver and leave an item 
desirable,all,worth having or wanting 
despise,all,to hate 
detect,all,to locate something 
deter,all,to discourage 
deviate,all,to differ from the norm 
devise,all,to plan or create 
diatribe,all,a sharp criticism or attack 
digress,all,to wander from the main subject 
dilemma,all,a situation where one must choose between two difficult choices 
diminish,all,to shrink or reduce 
dispose,all,to get rid of  
disproportionate,all,too small or large when compared to something else 
disrupt,all,to interrupt by causing a disturbance 
distort,all,to misrepresent 
distribute,all,to give portions of something 
diverse,all,showing a lot of variety 
divert,all,to cause a change of course 
dynamic,all,constantly changing 
ease,all,to reduce unpleasantness or difficulty 
efficient,all,maximizing productivity 
eliminate,all,to remove 
elite,all,"a select, above-average group  "
eloquent,all,moving speech or writing 
emphasize,all,to give special importance to when speaking or writing 
endure,all,to suffer through something difficult with patience 
enhance,all,to intensify or magnify 
epitome,all,a perfect example of something 
equivalent,all,equal 
erroneous,all,incorrect 
estimate,all,an approximate value 
evade,all,to avoid or escape 
evaluate,all,to assess  
evidence,all,facts or evidence that help prove or disprove something 
evolve,all,to gradually change 
exemplary,all,worthy of imitation 
exclude,all,to leave out 
exclusive,all,not admitting the majority 
expand,all,to increase in size  
expertise,all,expert knowledge or skill in a particular field 
exploit,all,to use selfishly 
expose,all,to reveal or unmask 
extension,all,an act of making something longer 
extract,all,to get or remove something 
famine,all,a time when there is an extreme lack of food 
feasible,all,possible to do 
finite,all,having an end or limits 
flaw,all,a feature that ruins the perfection of something 
fluctuate,all,to change continually 
focus,all,the central point or idea 
fortify,all,to strengthen 
framework,all,a skeletal structure designed to support something 
frivolous,all,unnecessary; of little importance 
function,all,a purpose natural to a person or thing 
fundamental,all,of primary importance 
gap,all,a space in between two objects 
garbled,all,communication that is distorted and unclear 
generate,all,to produce 
grandiose,all,pompous; overly important 
hackneyed,all,overused and unoriginal 
haphazard,all,lacking planning 
harsh,all,not gentle; unpleasant 
hasty,all,in a hurry  
hazardous,all,full of risk 
hesitate,all,"to pause, often due to reluctance "
hierarchy,all,a ranking system 
hindrance,all,something that causes delay or resistance 
hollow,all,empty inside 
horror,all,an intense feeling of fear 
hostile,all,extremely unfriendly 
hypothesis,all,an unproven idea that attempts to prove something 
identical,all,exactly the same 
illiterate,all,unable to read 
illustrate,all,to explain by using an example  
impact,all,to effect or influence 
impair,all,to worsen 
implement,all,to carry out 
imply,all,to strongly suggest 
impose,all,to force upon 
impoverish,all,to reduce to poverty 
incentive,all,a reason to do something 
incessant,all,continuing without pause  
incidental,all,a minor part 
incite,all,to urge on  
inclination,all,a preference 
incompetent,all,incapable; lacking ability 
inconsistent,all,changing randomly 
indefatigable,all,untiring 
indisputable,all,not able to be challenged 
ineffective,all,not producing any major impact 
inevitable,all,unable to be avoided 
infer,all,to guess based on evidence  
inflate,all,to increase in size 
influence,all,the ability to have an impact on something 
inhibit,all,to hinder or restrain 
initial,all,the first 
inquiry,all,an investigation to determine the truth 
integral,all,necessary to complete the whole 
integrate,all,to combine  
interpret,all,to explain the meaning of something 
intervene,all,"to come between people, objects, or an event and change what is happening "
intrepid,all,fearless 
intricate,all,highly detailed 
invasive,all,intrusive 
investigate,all,to examine or study  
irascible,all,easy to anger 
irony,all,the use of words to give a meaning opposite to their literal  meaning 
irresolute,all,uncertain 
jargon,all,words specific to a certain job or group 
jointly,all,together 
knack,all,a special talent or skill 
labor,all,work or effort 
lag,all,to fall behind 
lampoon,all,to mock or ridicule 
languish,all,to become weak v. to be neglected 
lecture,all,a talk given to an audience  
leery,all,wary 
legitimate,all,lawful  
lenient,all,merciful; less harsh 
likely,all,probable 
ludicrous,all,ridiculous 
maintain,all,to continue at the same level 
major,all,very important 
manipulate,all,"to influence, especially in an unfair way "
maximize,all,to increase to the greatest possible size 
measure,all,to find the size and dimensions of something 
mediocre,all,"ordinary, average "
mend,all,to fix 
method,all,a way of doing something 
migrate,all,to move from one place to another 
minimum,all,the smallest or lowest amount possible 
misleading,all,giving the wrong idea 
modify,all,to change 
morose,all,"gloomy, depressed  "
negligent,all,"lazy, neglectful "
nonchalant,all,"indifferent, unexcited "
obey,all,to follow orders or instructions 
obtain,all,to get 
obvious,all,easily understood 
opponent,all,someone on the opposite side for a game or contest 
oppress,all,to unfairly burden  
origin,all,the source; where something began 
parsimonious,all,"frugal, stingy "
partake,all,to join in 
partial,all,preferring one option over others 
paucity,all,something existing in very small amounts; scarcity 
peak,all,the highest or most important point 
peripheral,all,located on the side or edge 
permeate,all,to penetrate or pass through 
persist,all,"to continue, especially when facing opposition "
pertain,all,to relate 
phase,all,a period or stage in a process 
poll,all,a record of opinions or votes 
potent,all,powerful 
pragmatic,all,"practical, sensible "
praise,all,to give approval or admiration 
precede,all,to come before 
precise,all,exact 
prestigious,all,having a high reputation 
prevalent,all,widespread 
primary,all,first; most important 
prior,all,previous or earlier 
proceed,all,to continue doing something 
progeny,all,offspring 
promote,all,to further the progress of something 
prosper,all,to do well  
proximity,all,nearness in time or space 
quarrel,all,a disagreement or fight  v. to have an argument 
range,all,"the distance between two things, often the maximum and  minimum "
rank,all,an official position or station 
rebuke,all,to sternly disapprove or reprimand 
recapitulate,all,to give a brief summary 
recede,all,to retreat 
recommend,all,to present someone with confidence and approval 
reform,all,to make changes that improve something 
regulate,all,to supervise or control a process so that it functions correctly 
reinforce,all,to strengthen with added support 
reject,all,to say no to something that is offered 
release,all,to free  v. to allow to be known 
rely,all,to depend on 
reproach,all,to express disapproval or disappointment 
require,all,to need for a specific purpose  
resent,all,to feel bitterness or anger towards someone or something 
resign,all,to give up an office or position 
resist,all,to withstand the effect of 
resolve,all,to come to a firm decision 
restrict,all,to confine or keep within limits 
retain,all,to continue to do something or keep something 
retract,all,to draw back in 
retrieve,all,to bring back 
rhetorical,all,used just for style or impact 
rigid,all,"stiff, unyielding "
rotate,all,to turn 
safeguard,all,something that serves as protection or ensures safety 
scrutinize,all,to very carefully examine 
section,all,a part of the whole 
select,all,to choose 
sequence,all,things that follow each other in a certain order 
severe,all,"harsh or strict  adj. grave, critical "
shallow,all,not deep 
shelter,all,to protect from something harmful 
shrink,all,to become smaller 
significant,all,"important, noteworthy "
source,all,"a person, place or thing where something was obtained "
sparse,all,thinly scattered 
specify,all,to clearly specify which one 
speculate,all,to form a theory without strong evidence 
solitary,all,alone; without others 
somber,all,gloomy; depressing 
soothe,all,to calm or comfort 
squalid,all,filthy and unpleasant 
stable,all,unlikely to change or fail 
stagnant,all,sluggish; showing little movement 
strategy,all,a plan to reach a desired outcome 
subsequent,all,coming after something in time 
substitute,all,a person or thing acting in place of another 
subtle,all,difficult to notice right away 
sufficient,all,enough to serve a particular purpose 
summarize,all,to briefly give the main points 
supervise,all,to oversee work or a process 
supplant,all,to take the place of something else 
suspend,all,to temporarily stop v. to hang something from somewhere 
suspicious,all,having the belief that someone is doing something dishonest  or illegal 
sustain,all,to keep going 
symbolic,all,serving as a symbol 
technical,all,relating to a specific subject or craft 
terminal,all,situated at the end 
tolerate,all,to put up with 
transfer,all,to move from one place to another 
transition,all,to change from one state or condition to another 
transparent,all,easy to see through  adj. easy to detect 
tuition,all,the fee for instruction at a school 
unobtrusive,all,not attracting attention 
unscathed,all,unharmed 
upbeat,all,"happy, optimistic "
unjust,all,unfair 
vacillate,all,to waver or be indecisive 
valid,all,just; well-founded 
vanish,all,to disappear quickly  
vary,all,to be different from something else in a group 
verdict,all,a judgement or decision 
vestige,all,"a small trace of something that is disappearing or has already 
disappeared"
vial,all,a small container used to hold liquids 
vilify,all,to speak poorly of; to slander 
voluminous,all,taking up a lot of space 
whereas,all,on the contrary 
wholly,all,completely 
widespread,all,occurring over a large region 
