English,Japanese,Chapter
cordial,warm and sincere,c
cordon,line (of police acting as a guard),c
cornucopia,abundant supply,c
corporeal,physical of or for the body,c
correlate,have a mutual relation,c
corroboration,additional strengthening evidence,c
countenance,to favor or approve of,c
counterfeit,forgery,c
countervail,counterbalance,c
covert,disguised,c
covetous,eagerly desirous,c
cower,crouch shrink back,c
coy,shy/modest (esp of a girl),c
crass,very great (es. stupidity),c
cravat,piece of linen worn as a necktie,c
craven,cowardly,c
crease,line made by crushing white line on the ground in cricket,c
credulity,too great a readiness to believe things,c
credulous,ready to believe things,c
crush,press lose shape subdue overwhelm,c
cryptic,secret with a hidden meaning,c
cumbersome,burdensome heavy and awkward to carry,c
curmudgeon,bad-tempered person,c
curriculum,course of study,c
cursory,quick hurried,c
curtail,make shorter then was planned,c
dainty,pretty/delicate(food)/difficult to please,d
daunt,intimidate make fearful,d
dawdler,person who is slow waste of time,d
dearth,shortage,d
debacle,a breakup overthrow sudden disaster,d
decorum,propriety properness,d
decree,order given by authority,d
decry,disapprove of,d
defer,postpone give way (to show respect),d
deferential,showing respect,d
defiance,open disobedience or resistance,d
delineate,to portray depict sketch out,d
deluge,great flood heavy rush of water,d
demagogue,person appealing not to reasons,d
demur,to hesitate raise objections,d
denigrate,blacken belittle sully defame,d
denouement,an outcome or solution the unraveling of a plot,d
deplete,use until none remains,d
deposition,dethronement depositing,d
deprave,make morally bad corrupt,d
deprecate,protest against express disapproval of,d
dereliction,deserting and leaving to fall into ruins,d
derision,ridicule mockery deriding,d
derivative,unoriginal obtained from another source,d
derogatory,insulting tending to damage,d
descry,catch sight of see smth in the distance,d
desiccant,substance used to absorb moisture,d
desuetude,cessation of use disuse,d
desultory,aimless haphazard digressing at random,d
deter,discourage hinder,d
detraction,slandering verbal attack aspersion,d
detumescence,diminishing or lessening of swelling,d
deviance,being different in moral standards (from normal),d
dexterity,skill (esp. in handling),d
diaphanous,transparent gauzy,d
diatribe,bitter and violent attack in words,d
diffidence,shyness,d
dilate,speak comprehensively become wider large,d
disallow,refuse to allow or accept as a correct,d
discern,see with an effort but clearly,d
discomfit,confuse embarrass,d
disconcert,upset the self-possession of,d
discountenance,refuse to approve of,d
discourse,speech lecture,d
discredit,refuse to believe,d
discreet,careful/prudent,d
discrete,individually distinct,d
disdain,look on with contempt,d
disencumber,free from encumbrance,d
disheveled,untidy,d
disingenuous,sophisticated artful trying to deceive cunning,d
disinter,dig up from the earth,d
dislodge,move force from the place occupied,d
dismal,sad gloomy miserable,d
disparate,essentially different,d
disproof,proof to the contrary,d
dissemble,speak or behave so as to hide smth (in mind),d
disseminate,distribute (esp. ideas),d
dissent,have a different opinion refuse to assent,d
dissolution,disintegration looseness in morals,d
distraught,distracted violently upset in mind,d
divergence,getting farther apart from a point,d
divestiture,taking off getting rid of giving up,d
divulge,make known smth secret,d
doggerel,trivial poorly constructed verse,d
dogmatic,positive certain arbitrary without room for discussion,d
dolt,stupid fellow,d
dormant,in a state of inactivity but awaiting development,d
dote,show much fondness center one’s attention,d
drawl,slow way of speaking,d
droll,jesting,d
drone,male bee person who isn’t self-employed,d
drowsiness,feeling sleepy half asleep,d
dubious,feeling doubt,d
dud,no use person smth that fails,d
dulcet,melodious harmonious,d
dupe,cheat make a fool of,d
duplicity,deliberate deception,d
duress,threats to compel smb,d
dwarf,person or smb much below the usual size,d
dynamo,a generator something that produces electric current,d
earthenware,dishes made of baked clay,e
ebullience,exuberance outburst of feeling,e
ebullient,overflowing with enthusiasm showing excitement,e
ecumenical,representing the whole Christian world,e
edacious,voracious devouring,e
eddy,circular or spiral movement (e.g.. of wind),e
edible,fit to be eaten/not poisonous,e
effete,infertile worn out weak,e
efficacy,production of a desired result,e
effluvia,outflow in a stream of particles a noxious odor or vapor,e
effrontery,boldness impudence arrogance,e
egress,way out exit,e
elaborate,worked out with much care in great detail,e
elegy,a lament a melancholy composition,e
elicit,draw out,e
eloquence,fluent speaking skillful use of language,e
emaciate,make thin and weak,e
embellish,make beautiful,e
embezzle,use in a wrong way for one’s own benefit,e
emote,stir up excite,e
empirical,relying on experiment,e
encapsulate,enclose in capsule,e
encomium,warm or glowing praise eulogy panegyric,e
encumbrance,burden things that get on the way of,e
endearing,making dear or liked,e
endemic,epidemic,e
endorse,write one’s name on the back of,e
enduring,lasting,e
enervate,weaken deprive of strength attenuate,e
engender,cause produce give rise to,e
engrave,impress deeply,e
engrossing,taken up all the time or attention writing in large or formal,e
engulf,swallow up,e
enigma,smth that is puzzling,e
enmity,hatred being an enemy,e
ensign,flag/badge,e
entangle,put into difficulties,e
enthral,please greatly/enslave (fig),e
entice,tempt or persuade,e
entreat,ask earnestly,e
enunciate,pronounce (words)/express a theory,e
enzyme,catalyst,e
epicurean,devoted to pleasure (sensuous enjoyment),e
epistle,letter,e
epithet,adjective,e
epitome,brief summary representative example a typical model,e
equable,steady regular,e
equanimity,calmness of temperament,e
equilibrium,state of being balanced,e
equipoise,equal distribution of weight equilibrium,e
equivocal,having a double or doubtful meaning suspicious,e
equivocate,try to deceive by equivocal language,e
eradicate,get rid of pull up by the roots,e
erratic,irregular in behaviour or opinion,e
erudite,learned scholarly,e
eschew,avoid,e
esoteric,abstruse intended only for a small circle of,e
espouse,marry give one’s support to,e
eulogy,formal praise panegyric,e
euphoria,elation state of pleasant excitement,e
euthanasia,easy and painless death,e
evasive,tending to evade,e
evince,to show clearly to indicate,e
evoke,call up bring out,e
excoriation,severe criticism,e
exculpate,to clear from a charge of guilt,e
exhaustive,complete thorough,e
exigency,emergency an urgent situation,e
exoneration,set smb clear free (e.g.. from blame),e
exorbitant,much too high or great,e
expatiate,to roam wander freely,e
expedient,likely to be useful for a purpose,e
expiation,ending expiring,e
exploit,brilliant achievement develop use selfishly,e
expostulate,argue earnestly to dissuade correct or protest,e
expurgate,to remove obscenity purify censor,e
exscind,to cut out cut away,e
extant,still in existence,e
extempore,without previous thought or preparation,e
extenuate,reduce the strength of lessen seriousness partially excuse,e
extinct,no longer active,e
extinguish,end the existence of/wipe or put out,e
extirpate,to destroy exterminate cut out exscind,e
extol,praise highly,e
extort,obtain by threats violence,e
extralegal,outside the law,e
extricable,that can be freed,e
extrovert,cheerful person,e
exuberance,state of growing vigorously being full of life,e
facetious,humorous funny jocular,f
facile,easily done,f
fallacious,based on error,f
falter,waver/move in an uncertain manner,f
fatuous,without sense foolish self-satisfaction,f
fawn,young deer try to win smb’s favor,f
feckless,lacking purpose or vitality ineffective careless,f
fecund,fertile,f
feint,pretend,f
felicitous,apt suitably expressed well chosen apropos,f
felon,person guilty of murder,f
ferment,substance become excited,f
ferocity,savage cruelty,f
ferret,discover by searching search,f
fervid,showing earnest feeling,f
fervor,warmth of feelings earnestness,f
fetid,stinking,f
fetter,to shackle put in chains,f
feud,bitter quarrel over a long period of time,f
fidelity,loyalty accuracy,f
fidget,move restlessly make nervous,f
figurehead,carved image on the prow of a ship,f
finesse,delicate way of dealing with a situation,f
finical,too fussy about food clothing etc.,f
finicky,finical,f
fission,splitting or division (esp. of cells),f
fixate,stare at,f
flak,criticism/anti-aircraft guns,f
flamboyant,brightly colored florid,f
flaunting,show off complacently,f
flax,pale yellow (hair) a plant,f
fledged,able to fly trained experienced,f
fleet,number of ships quick-moving,f
flinch,draw move back wince,f
flop,fail/move/fall clumsily,f
florid,very much ornamented naturally red (e.g.. of face),f
flout,reject mock to go against (as in going against tradition),f
fluke,lucky stroke,f
fluster,make nervous or confused,f
foible,defect of character (a person is wrongly proud),f
foil,prevent from carrying out contrast,f
foment,put smth warm (to lessen the pain),f
foolproof,incapable of failure or error,f
foppish,like a man who pays too much attention to his clothes,f
forage,food for horses and cattle,f
forbear,refrain from be patient ancestor,f
forbearance,patience willingness to wait,f
ford,shallow place in a river (to cross),f
forestall,prevent by taking action in advance preempt,f
forfeit,suffer the loss of smth,f
forge,workshop for the shaping of metal to shape metal lead,f
forgery,counterfeit,f
forswear,renounce disallow repudiate,f
foster,nurture care for,f
fracas,noisy quarrel,f
fragile,easily injured broken or destroyed,f
fragrant,sweet-smelling,f
frantic,wildly excited with joy pain anxiety,f
frenetic,frantic frenzied,f
fret,worry irritation wear away,f
fringe,edge ornamental border part of hair over the forehead,f
froward,intractable not willing to yield or comply stubborn,f
frugal,careful economical,f
fulmination,bitter protest,f
fulsome,disgusting offensive due to excessiveness,f
gainsay,to deny to oppose,g
garble,make unfair selection from facts,g
garment,article of clothing,g
garner,to gather and save to store up,g
garrulity,talkativeness,g
garrulous,too talkative,g
gaucherie,socially awkward tactless behavior,g
germane,relevant pertinent to,g
gist,the point general sense,g
glean,gather facts in small quantities,g
glib,ready and smooth but not sincere,g
glimmer,weak/unsteady light,g
gloat,over look at with selfish delight,g
glut,supply to much fill to excess,g
gnaw,waste away bite steadily,g
goad,smth urging a person to action,g
gorge,eat greedily/narrow opening with a stream,g
gossamer,soft light delicate material,g
gouge,tool for cutting grooves in wood,g
grandiloquent,using pompous words,g
grave,serious requiring consideration,g
graze,touch or scrape lightly in passing,g
gregarious,living in societies liking the company,g
grievous,causing grief or pain serious dire grave,g
grovel,crawl humble oneself,g
guile,deceit cunning,g
gullible,easily gulled,g
gush,burst out suddenly/talk ardently,g
gust,outburst of feeling sudden rain wind fire etc.,g
hack,cut roughly hired horse,h
halcyon,calm and peaceful,h
hallow,to make holy consecrate,h
harangue,a long passionate speech,h
harbinger,smth or smb that foretells the coming of,h
harrow,to distress create stress or torment,h
haughty,arrogant conceited,h
heed,attention/give notice to,h
heinous,odious (of crime),h
heresy,belief contrary to what is generally accepted,h
hermetic,sealed by fusion,h
heterogeneous,made up of different kinds,h
hew,make by hard work cut (by striking),h
highbrow,(person) with superior tastes,h
hirsute,hairy shaggy,h
hoax,mischievous trick played on smb for a joke,h
hoi,polloi the masses the rabble,h
hollow,not soled with hole,h
holster,leather case for a pistol,h
homiletics,act of preaching,h
hone,stone used for sharpening tools,h
hoodwink,trick mislead,h
hospitable,liking to give hospitality,h
hubris,arrogant pride,h
hush,make or become silent,h
husk,worthless outside part of anything,h
hypocrisy,falsely making oneself appear to be good,h
iconoclast,person who attacks popular beliefs,i
idiosyncrasy,personal mannerism,i
idolatry,excessive admiration of,i
idyll,a carefree episode or experience,i
ignoble,dishonorable common undignified,i
ignominious,shameful dishonorable undignified disgraceful,i
illicit,unlawful forbidden,i
imbroglio,complicated and embarrassing situation,i
immaculate,pure faultless,i
imminent,likely to come or happen soon,i
immutable,that cannot be changed,i
impair,worsen diminish in value,i
impassive,unmoved feeling no sign of passion,i
impecunious,having little or no money,i
impede,hinder get in the way of,i
impediment,smth that hinders (e.g. stammer),i
impending,imminent being about to happen expected,i
imperative,urgent essential,i
imperious,commanding haughty arrogant,i
impermeable,that cannot be permeated,i
imperturbable,calm not capable of being excited,i
impervious,not allowing to pass through (of materials),i
imperviousness,haughty arrogant commanding,i
impetuous,having sudden energy impulsive thrusting ahead forceful,i
impiety,lack of reverence or dutifulness,i
implacable,incapable of being placated unpleasable,i
implicate,show that smb has a share,i
implicit,implied though not plainly expressed,i
implosion,collapse bursting inward,i
importune,beg urgently solicit (of a prostitute),i
imprecation,an invocation of evil a curse,i
impromptu,without preparation,i
impudent,rash indiscreet,i
impugned,challenged to be doubted,i
impute,to attribute to a cause or source ascribe,i
inadvertent,not paying proper attention,i
inane,silly senseless,i
inasmuch,since because,i
incense,make angry,i
incessant,often repeated continual,i
inchoate,not yet fully formed rudimentary elementary,i
incipient,beginning,i
incise,engrave make a cut in,i
incite,stir up rouse,i
inclined,directing the mind in a certain direction,i
incongruous,out of place not in harmony or agreement,i
incorrigibility,cannot be cured or corrected,i
incredulous,skeptical unwilling to believe,i
inculcate,fix firmly by repetition,i
incumbents,official duties,i
incursion,a raid a sudden attack,i
indefatigability,not easily exhaustible tirelessness,i
indelible,that cannot be rubbed out,i
indigence,poverty,i
indigenous,native,i
indistinct,not easily heard seen clearly marked,i
indolence,laziness,i
indomitable,not easily discouraged or subdued,i
indulge,gratify give way to satisfy allow oneself,i
indulgent,inclined to indulge,i
ineffable,to great to be described in words,i
ineluctable,certain inevitable,i
inept,unskillful said or done at the wrong time,i
ineptitude,quality of being unskillful,i
inferno,hell,i
infuriate,fill with fury or rage,i
infuse,put pour fill,i
ingenuous,naive young artless frank honest sincere,i
ingest,take in by swallowing,i
inimical,harmful or unfriendly,i
inimitable,defying imitation unmatchable,i
innocuous,causing no harm,i
inscrutable,incapable of being discovered or understood,i
insensible,unconscious unresponsive unaffected,i
insinuate,suggest unpleasantly make a way for smth gently,i
insipid,without taste or flavor,i
insouciant,unconcerned carefree,i
insularity,narrow-mindedness isolated,i
insurrection,rising of people to open resistance to,i
interdict,prohibit forbid,i
interim,as an installment,i
intersperse,place here and there,i
intransigence,unwillingness to compromise stubbornness intractability,i
intransigent,uncompromising,i
intrepid,fearless brave undaunted,i
introspection,examining one’s own thoughts and feelings,i
inundate,flood cover by overflowing,i
inured,accustomed to adapted,i
invective,abusive language curses,i
inveigh,to attack verbally denounce deprecate,i
inveterate,deep-rooted. long-established,i
invincible,too strong to be defeated,i
involute,complex,i
irascible,irritable easily angered,i
irate,angry,i
ire,anger,i
irksome,tiresome,i
irresolute,hesitating undecided,i
irrevocable,final and unalterable,i
itinerate,to travel from place to place to peregrinate,i
jabber,talk excitedly utter rapidly,j
jibe,gibe make fun of,j
jocular,meant as a joke,j
judicious,sound in judgment wise,j
knit,draw together unite firmly,k
labyrinthine,to entangle the state of affairs,l
lachrymose,causing tears tearful,l
lackluster,(of eyes) dull,l
lament,show feel great sorrow,l
lassitude,weariness tiredness,l
latent,present but not yet active developed or visible,l
laudatory,expressing or giving praise,l
lavish,giving or producing freely liberally or generously,l
legacy,smth handed down from ancestors,l
levee,formal reception/embankment,l
levity,lack of seriousness,l
libel,statement that damages reputation,l
liberality,free giving generosity,l
libertine,immoral person,l
lien,legal claim until a debt on it is repaid,l
limn,paint portray,l
limp,lacking strength walking unevenly,l
lionize,treat as a famous person,l
lithe,bending twisting,l
loll,rest to sit or stand in a lazy way hang (dog’s tongue),l
lope,move along with long strides,l
loquacious,talkative garrulous,l
lucubrate,write in scholarly fashion,l
luculent,easily understood lucid clear,l
lugubrious,mournful excessively sad,l
lull,become quiet or less active,l
lumber,move in a clumsy/noisy way,l
luminary,star light-giving body,l
lurk,be out of view ready to attack,l
lustrous,being bright polished,l
macabre,gruesome suggesting death,m
macerate,make or become soft by soaking in water,m
machination,plot scheme (esp. evil),m
maladroit,tactless clumsy,m
malapropism,misuse of a word (for one that resembles it),m
malevolence,wishing to do evil,m
malign,injurious speak ill of smb tell lie,m
malinger,to fake illness or injury in order to shirk a duty,m
malleable,yielding easily shaped moldable adapting,m
manacle,chains for the hands or feet,m
massacre,cruel killing of a large number of people,m
matriculation,be admitted enter a university as a student,m
maudlin,sentimental in a silly or tearful way,m
maul,hurt by rough handling,m
maverick,rebel nonconformist,m
mellifluous,sweetly flowing,m
mendacity,dishonesty,m
mendicant,a beggar,m
mercurial,quick changeable in character fleeting,m
meretricious,attractive on the surface but of little value,m
mesmerize,hypnotize,m
meticulous,giving great attention to details,m
mettle,quality of endurance or courage,m
mettlesome,courageous high-spirited,m
middling,fairly good but not very good,m
minatory,menacing threatening,m
mince,pronounce or speak affectedly euphemize,m
misanthrope,person who hates mankind,m
mischievous,harmful causing mischief,m
miser,person who loves wealth and spends little,m
misogynist,one who hates women/females,m
moderation,quality of being limited not extreme,m
mollify,make calmer or quieter,m
molt,moult lose hair feathers before new growing,m
morbid,diseased unhealthy (e.g.. about ideas),m
morose,ill-tempered unsocial,m
muffler,cloth worn round the neck/silencer,m
multifarious,varied motley greatly diversified,m
mundane,worldly as opposed to spiritual commonplace everyday,m
myriad,very great number,m
nadir,lowest weakest point,n
nascent,coming into existence emerging,n
nebulous,cloud-like hazy vague indistinct,n
negligent,taking too little care,n
neophyte,person who has been converted to a belief,n
nexus,a connection tie or link,n
nibble,show some inclination to accept (an offer),n
noisome,offensive disgusting (smell),n
nonchalant,not having interest,n
nonplused,greatly surprised,n
nostrum,a quack remedy an untested cure,n
noxious,harmful,n
nugatory,trifling/worthless,n
obdurate,hardened and unrepenting stubborn inflexible,o
obfuscate,to darken make obscure muddle,o
oblivious,unaware having no memory,o
obloquy,abusively detractive language sharp criticism vituperation,o
obsequious,too eager to obey or serve,o
obstreperous,noisy loud,o
obtain,to be established accepted or customary,o
obtrusive,projecting prominent undesirably noticeable,o
obtuse,blunt/stupid,o
obviate,to make unnecessary get rid of,o
occluded,blocked up,o
odious,repulsive hateful,o
odium,contempt dislike aversion,o
odor,smell favor reputation,o
officious,too eager or ready to help offer advice,o
ominous,threatening,o
onerous,needing effort burdensome,o
opaqueness,dullness/not allowing light to pass through,o
opprobrious,showing scorn or reproach,o
ossify,to turn to bone to settle rigidly into an idea,o
ostensible,seeming appearing as such professed,o
ostentation,display to obtain admiration or envy,o
ostracism,shut out from society refuse to meet talk,o
overhaul,examine thoroughly to learn about the condition,o
overweening,presumptuously arrogant overbearing immoderate being a jerk,o
paean,song of praise or triumph,p
palate,roof of the mouth sense of taste,p
palatial,magnificent,p
palliate,lessen the severity of,p
palpability,can be felt touched understood,p
palpitate,tremble beat rapidly and irregularly,p
panegyric,formal praise eulogy,p
paradigm,a model example or pattern,p
parenthesis,sentence within another one smth separated,p
pariah,an outcast a rejected and despised person,p
parsimonious,too economical miserly,p
partisan,one-sided committed to a party biased or prejudiced,p
patron,regular customer person who gives support,p
paucity,scarcity a lacking of,p
peccadillo,small sin small weakness in one’s character,p
pedantic,bookish showing off learning,p
pedestrian,commonplace trite unremarkable,p
pellucid,transparent easy to understand,p
penchant,strong inclination a liking,p
penitent,feeling or showing regret,p
penurious,poor/stingy,p
penury,extreme poverty,p
peregrination,traveling about wandering,p
peremptory,urgent imperative unchallengeable ending debate,p
perfidious,treacherous faithless,p
perfidy,treachery breaking of faith,p
perfunctory,done as a duty without care,p
perilous,dangerous,p
peripatetic,wandering,p
perish,be destroyed decay,p
perjury,willful FALSE statement unlawful act,p
permeate,spread into every part of,p
pernicious,harmful injurious,p
perpetrate,be guilty commit (a crime),p
personable,pleasing in appearance attractive,p
perspicacity,quick judging and understanding,p
pertain,belong as a part have reference,p
pest,destructive thing or a person who is nuisance,p
petrified,taken away power (to think feel act),p
petrify,to make hard rocklike,p
petrous,like a rock hard stony,p
petulant,unreasonably impatient,p
philistine,a smug ignorant person one who lacks knowledge,p
phlegmatic,calm sluggish temperament unemotional,p
picaresque,involving clever rogues or adventurers,p
pied,of mixed colors,p
pinch,be too tight take between the thumb and finger,p
pine,waste away through sorrow or illness,p
pious,dutiful to parents devoted to religion,p
piquant,agreeably pungent stimulating,p
pique,hurt the pride or self-respect stir (curiosity),p
pitfall,covered hole as a trap unsuspected danger,p
pith,essential part force soft liquid substance,p
pivotal,of great importance (others depend on it),p
placate,soothe pacify calm,p
plaintive,mournful melancholy sorrowful,p
plaque,flat metal on a wall as a memorial,p
platitude,a trite or banal statement unoriginality,p
plea,request,p
plead,address a court of law as an advocate,p
plethora,glut,p
pliant,pliable easily bent shaped or twisted,p
plod,continue doing smth without resting,p
pluck,pull the feathers off pick (e.g.. flowers),p
plumb,get to the root of,p
plummet,fall plunge steeply,p
plunge,move quickly suddenly and with force,p
poignant,deeply moving keen,p
poncho,large piece of cloth,p
ponderous,heavy bulky dull,p
portent,omen marvelous threatening,p
precarious,uncertain risky dangerous,p
precepts,rules establishing standards of conduct,p
preclude,prevent make impossible,p
precursory,preliminary anticipating,p
predilection,special liking mental preference,p
predominate,have more power than others,p
preen,tidy/show self-satisfaction,p
premature,doing or happening smth before the right time,p
preponderance,greatness in number strength weight,p
presage,warning sign,p
presumption,arrogance,p
preternatural,not normal or usual,p
prevalent,common,p
prevaricate,to equivocate to stray from the truth,p
prim,neat formal,p
pristine,primitive unspoiled pure as in earlier times unadulterated,p
probity,uprightness incorruptibility principle,p
proclivity,inclination,p
procrastination,keeping on putting off,p
prodigal,wasteful reckless with money,p
prodigious,enormous wonderful,p
profane,worldly having contempt for God,p
profligacy,shameless immorality,p
profligate,wasteful prodigal licentious extravagant,p
profundity,depth,p
profuse,abundant/lavish,p
proliferate,grow reproduce by rapid multification,p
prolix,tiring because too long,p
prone,prostrate inclined to (undesirable things),p
propagation,increasing the number spreading extending,p
propinquity,nearness in time or place affinity of nature,p
propitiatory,conciliatory appeasing mitigating,p
propitious,auspicious presenting favorable circumstances,p
prosaic,everyday mundane commonplace trite pedestrian,p
proscribe,denounce as dangerous,p
protracted,prolonged,p
provident,frugal looking to the future,p
provisional,of the present time only,p
provoke,make angry vax,p
prudence,careful forethought,p
prudish,easily shocked excessively modest,p
prune,dried plum silly person,p
pry,get smth inquire too curiously,p
pucker,wrinkle,p
pugnacious,fond of in the habit of fighting,p
puissance,strength,p
punctilious,precise paying attention to trivialities,p
pundit,pedant authority on a subject,p
pungency,sharpness stinging quality,p
purvey,provide supply,p
